iter	MultiRMSE
0	135.9190858
1	84.15888963
2	57.23492418
3	44.2699634
4	38.58559718
5	36.03786697
6	34.40002041
7	33.00415595
8	32.37679573
9	31.48437719
10	31.06031265
11	30.59996727
12	29.98838365
13	29.30469637
14	28.9439385
15	28.64356228
16	28.35150052
17	28.08863336
18	27.90326164
19	27.36578558
20	26.92036184
21	26.53785048
22	25.97680225
23	25.65788797
24	25.39890234
25	25.17442341
26	24.795538
27	24.69496737
28	24.32739843
29	23.93702028
30	23.77429224
31	23.50992993
32	23.41283189
33	23.05450608
34	22.74313315
35	22.45739531
36	22.32500535
37	22.05226047
38	21.8944382
39	21.48741778
40	21.27507061
41	20.96479736
42	20.72563003
43	20.55239336
44	20.35457998
45	20.17785267
46	20.00177471
47	19.85076159
48	19.74612023
49	19.68602342
50	19.27072469
51	19.19814273
52	18.93999827
53	18.78651871
54	18.7003651
55	18.50582377
56	18.35446601
57	18.15022925
58	18.03657626
59	17.93127094
60	17.83418875
61	17.67004301
62	17.3680812
63	17.23920438
64	17.12273163
65	16.9955312
66	16.92274024
67	16.60585217
68	16.43201249
69	16.35977091
70	16.29684196
71	16.02415001
72	15.86963052
73	15.74890537
74	15.54032079
75	15.44138512
76	15.32787824
77	15.24779165
78	15.10764936
79	14.97186578
80	14.95958426
81	14.85780373
82	14.80024444
83	14.64611455
84	14.55949395
85	14.43250328
86	14.3694901
87	14.24700653
88	14.1897575
89	14.07972621
90	13.87860356
91	13.71613221
92	13.65957491
93	13.60547449
94	13.55079832
95	13.49329406
96	13.36750096
97	13.27293613
98	13.1325025
99	13.07476504
100	12.98744793
101	12.86743151
102	12.70971222
103	12.59584126
104	12.55371263
105	12.50323716
106	12.45443552
107	12.35974105
108	12.24044069
109	12.14449294
110	12.09927967
111	12.0491758
112	11.91730983
113	11.82539572
114	11.72276813
115	11.62677463
116	11.59156986
117	11.52563867
118	11.41584247
119	11.31717788
120	11.22561599
121	11.19191702
122	11.14123705
123	11.10405143
124	11.06673305
125	11.04448873
126	10.98766242
127	10.93859277
128	10.91396598
129	10.86431435
130	10.82075851
131	10.80933277
132	10.70859449
133	10.6050389
134	10.57189246
135	10.50937738
136	10.39191963
137	10.3622521
138	10.32141111
139	10.19696534
140	10.14701422
141	10.12349597
142	9.989369006
143	9.946475219
144	9.859579347
145	9.797306488
146	9.779220908
147	9.734106335
148	9.715965925
149	9.657335721
