iter	Passed	Remaining
0	363	54186
1	641	47446
2	991	48605
3	1342	48990
4	1682	48797
5	2031	48750
6	2299	46974
7	2633	46742
8	2909	45580
9	3179	44514
10	3503	44275
11	3852	44303
12	4136	43588
13	4408	42822
14	4675	42082
15	4997	41855
16	5273	41253
17	5573	40874
18	5904	40706
19	6180	40171
20	6527	40095
21	6795	39538
22	7098	39193
23	7367	38681
24	7667	38337
25	7974	38033
26	8252	37593
27	8512	37089
28	8783	36647
29	9082	36329
30	9346	35876
31	9660	35621
32	9921	35176
33	10308	35170
34	10569	34727
35	10866	34409
36	11176	34134
37	11450	33749
38	11733	33396
39	12020	33055
40	12304	32711
41	12556	32288
42	12819	31899
43	13127	31624
44	13481	31457
45	13882	31387
46	14165	31044
47	14492	30796
48	14762	30429
49	15032	30065
50	15362	29821
51	15623	29444
52	15988	29262
53	16278	28939
54	16535	28561
55	16887	28346
56	17193	28053
57	17492	27746
58	17805	27463
59	18064	27096
60	18409	26859
61	18686	26522
62	18995	26231
63	19271	25895
64	19545	25559
65	19822	25228
66	20108	24910
67	20392	24591
68	20659	24252
69	20939	23931
70	21218	23609
71	21498	23290
72	21751	22943
73	22068	22664
74	22426	22426
75	22741	22142
76	23060	21862
77	23333	21539
78	23628	21236
79	23898	20910
80	24263	20669
81	24569	20374
82	24845	20056
83	25089	19713
84	25393	19418
85	25701	19126
86	25970	18806
87	26316	18540
88	26587	18222
89	26942	17961
90	27213	17643
91	27636	17423
92	27907	17104
93	28163	16778
94	28490	16494
95	28735	16163
96	29075	15886
97	29353	15575
98	29682	15291
99	29954	14977
100	30221	14661
101	30521	14363
102	30825	14066
103	31150	13778
104	31461	13483
105	31743	13176
106	32121	12908
107	32469	12627
108	32803	12338
109	33160	12058
110	33431	11746
111	33728	11443
112	33983	11127
113	34277	10824
114	34544	10513
115	34956	10245
116	35492	10010
117	35850	9722
118	36325	9462
119	36641	9160
120	37034	8875
121	37378	8578
122	37741	8284
123	38029	7973
124	38395	7679
125	38705	7372
126	39027	7068
127	39323	6758
128	39588	6444
129	39855	6131
130	40156	5824
131	40481	5520
132	40813	5216
133	41140	4912
134	41416	4601
135	41723	4295
136	42014	3986
137	42383	3685
138	42662	3376
139	43048	3074
140	43377	2768
141	43648	2459
142	43858	2146
143	44114	1838
144	44429	1532
145	44650	1223
146	44971	917
147	45210	610
148	45489	305
149	45781	0
