iter	Passed	Remaining
0	175	26147
1	441	32676
2	676	33169
3	935	34131
4	1169	33916
5	1379	33114
6	1639	33484
7	1867	33149
8	2094	32812
9	2336	32713
10	2554	32282
11	2779	31963
12	2992	31536
13	3232	31400
14	3495	31458
15	3735	31288
16	3950	30909
17	4214	30903
18	4445	30649
19	4652	30242
20	4873	29936
21	5112	29747
22	5324	29401
23	5578	29284
24	5844	29221
25	6107	29129
26	6379	29061
27	6690	29150
28	6997	29198
29	7256	29024
30	7521	28871
31	7773	28665
32	8108	28749
33	8446	28817
34	8806	28936
35	9069	28719
36	9306	28421
37	9568	28202
38	9795	27879
39	10159	27939
40	10482	27868
41	10784	27732
42	11031	27451
43	11266	27141
44	11496	26825
45	11753	26572
46	12019	26340
47	12292	26121
48	12545	25859
49	12802	25604
50	13043	25318
51	13363	25184
52	13769	25201
53	14149	25154
54	14375	24830
55	14702	24678
56	14989	24456
57	15299	24268
58	15592	24050
59	15896	23844
60	16114	23510
61	16352	23210
62	16603	22928
63	16841	22630
64	17052	22299
65	17278	21991
66	17502	21682
67	17725	21375
68	17980	21107
69	18286	20898
70	18522	20609
71	18796	20363
72	18994	20035
73	19250	19770
74	19474	19474
75	19706	19187
76	19911	18877
77	20179	18627
78	20438	18368
79	20692	18105
80	20916	17817
81	21192	17574
82	21539	17387
83	21871	17184
84	22146	16935
85	22386	16659
86	22618	16379
87	22839	16091
88	23046	15795
89	23235	15490
90	23525	15252
91	23764	14981
92	23983	14699
93	24209	14422
94	24441	14150
95	24710	13899
96	24933	13623
97	25163	13351
98	25373	13071
99	25605	12802
100	25859	12545
101	26089	12277
102	26321	12010
103	26531	11735
104	26758	11467
105	27000	11207
106	27268	10958
107	27493	10692
108	27702	10420
109	27951	10164
110	28200	9908
111	28408	9638
112	28640	9377
113	28885	9121
114	29112	8860
115	29321	8594
116	29536	8330
117	29779	8075
118	30003	7815
119	30244	7561
120	30469	7302
121	30694	7044
122	30896	6782
123	31152	6531
124	31364	6272
125	31566	6012
126	31774	5754
127	32012	5502
128	32417	5277
129	32722	5034
130	33157	4809
131	33390	4553
132	33700	4307
133	34029	4063
134	34320	3813
135	34562	3557
136	34948	3316
137	35151	3056
138	35388	2800
139	35628	2544
140	36164	2308
141	36912	2079
142	37966	1858
143	38371	1598
144	38686	1334
145	39113	1071
146	39426	804
147	39757	537
148	40289	270
149	41159	0
