iter	MultiRMSE
0	133.5147544
1	83.36465455
2	56.06681017
3	43.82329444
4	38.18071314
5	35.9006436
6	33.70541946
7	32.66488482
8	32.12134174
9	31.19764632
10	30.62678631
11	30.21337761
12	29.50909318
13	29.32822283
14	28.95168544
15	28.38771315
16	28.1458073
17	27.75728963
18	27.33833966
19	27.1188245
20	26.58636235
21	26.22910788
22	26.02092725
23	25.65307506
24	25.44101674
25	25.27028644
26	24.94981238
27	24.52798336
28	24.25670935
29	24.02137674
30	23.45763986
31	23.13846529
32	22.99313783
33	22.90873686
34	22.80296446
35	22.58075327
36	22.44519403
37	22.31987594
38	21.85933721
39	21.74140412
40	21.53949148
41	21.35351304
42	21.10466647
43	20.84919912
44	20.64411911
45	20.54738026
46	20.30387278
47	19.9461049
48	19.64071809
49	19.42854163
50	19.34973395
51	19.15261062
52	19.01537211
53	18.78458007
54	18.69739572
55	18.5457896
56	18.19267113
57	18.10920984
58	18.04814165
59	17.81462199
60	17.61593046
61	17.40590712
62	17.22425251
63	17.12073624
64	16.98990286
65	16.87356838
66	16.83971202
67	16.75443283
68	16.64395112
69	16.44337832
70	16.3309177
71	16.19689127
72	16.14691343
73	16.01193393
74	15.96606519
75	15.85884749
76	15.68239089
77	15.60794268
78	15.56045156
79	15.51185745
80	15.37026511
81	15.31816839
82	15.28155759
83	15.2188077
84	15.04496593
85	14.85502221
86	14.65866025
87	14.62046532
88	14.54010349
89	14.40601652
90	14.24826381
91	14.16590765
92	14.01584078
93	13.98460608
94	13.7967627
95	13.79205946
96	13.70603678
97	13.55635912
98	13.51742191
99	13.4336328
100	13.32744747
101	13.27259905
102	13.20408397
103	12.98883094
104	12.82348135
105	12.66430796
106	12.63102845
107	12.52121167
108	12.37074133
109	12.27538167
110	12.10547809
111	12.0444626
112	11.97555873
113	11.8915783
114	11.85167008
115	11.6796714
116	11.63556178
117	11.58228278
118	11.5137168
119	11.45038171
120	11.33252842
121	11.322504
122	11.26305437
123	11.10974392
124	11.06007232
125	10.97857014
126	10.94656708
127	10.8645544
128	10.74051207
129	10.68073709
130	10.65737552
131	10.60290835
132	10.53853298
133	10.44526587
134	10.37366897
135	10.26442008
136	10.22752903
137	10.11580536
138	10.0451304
139	10.01144525
140	9.908570993
141	9.846548152
142	9.807386862
143	9.765427958
144	9.661086219
145	9.620576285
146	9.608846893
147	9.568544175
148	9.51738131
149	9.422137985
