iter	MultiRMSE
0	132.9113702
1	83.03308462
2	55.35305484
3	42.73866837
4	36.93639523
5	33.91372481
6	32.11012135
7	31.027854
8	30.35095655
9	29.67892424
10	29.18291906
11	28.60895746
12	28.00724245
13	27.76529541
14	27.43139855
15	27.13207051
16	26.61053993
17	26.1983596
18	25.81315746
19	25.53115143
20	24.97090848
21	24.79341385
22	24.28075925
23	24.00745872
24	23.78631101
25	23.56517403
26	23.28967988
27	23.0676679
28	22.78246689
29	22.36110663
30	22.12534206
31	21.85953928
32	21.75250877
33	21.52393956
34	21.16643212
35	20.9648428
36	20.62954133
37	20.45582396
38	20.30239648
39	20.14025377
40	20.00936624
41	19.89840629
42	19.84188159
43	19.63920024
44	19.50940456
45	19.42699526
46	19.26718443
47	19.06293448
48	19.00222983
49	18.79744682
50	18.5905864
51	18.50953651
52	18.30241199
53	18.12502773
54	18.05177396
55	17.85364119
56	17.43493331
57	17.24382891
58	17.13325609
59	16.82029055
60	16.7830651
61	16.67724753
62	16.57675759
63	16.38849214
64	16.2557518
65	16.10506728
66	15.98219104
67	15.93208973
68	15.87368439
69	15.73175657
70	15.51131825
71	15.29444347
72	15.14014559
73	15.05730614
74	14.98214168
75	14.88914346
76	14.83750532
77	14.73386232
78	14.69987066
79	14.62638894
80	14.51312628
81	14.36230034
82	14.24328151
83	14.20247768
84	14.08447507
85	14.03288042
86	13.79930223
87	13.66653052
88	13.50807419
89	13.46561793
90	13.42730074
91	13.38980621
92	13.257075
93	13.0816294
94	13.01937896
95	12.96543957
96	12.7617752
97	12.71844368
98	12.65561588
99	12.60253398
100	12.56040751
101	12.54094265
102	12.52025438
103	12.50305923
104	12.46794132
105	12.40473374
106	12.34044548
107	12.33043015
108	12.23273753
109	12.14432152
110	12.09561483
111	12.04083927
112	11.90882405
113	11.87853588
114	11.85189476
115	11.81622099
116	11.69321538
117	11.66767582
118	11.58765366
119	11.53554674
120	11.52587769
121	11.44839949
122	11.40819376
123	11.35128202
124	11.33855759
125	11.25008625
126	11.14967481
127	11.02974533
128	10.89346367
129	10.84196963
130	10.79178996
131	10.72036156
132	10.66146524
133	10.5120919
134	10.47957588
135	10.44809564
136	10.35078532
137	10.32300735
138	10.288016
139	10.18554535
140	10.11867952
141	10.04581102
142	10.00615062
143	9.980356056
144	9.932921716
145	9.869596611
146	9.833333852
147	9.807095019
148	9.718735842
149	9.628318331
