iter	Passed	Remaining
0	204	30503
1	456	33785
2	737	36120
3	984	35937
4	1231	35707
5	1568	37644
6	1813	37049
7	2103	37342
8	2352	36848
9	2586	36210
10	2801	35402
11	3140	36116
12	3420	36044
13	3694	35892
14	3993	35943
15	4273	35793
16	4595	35956
17	4870	35720
18	5116	35275
19	5369	34900
20	5645	34680
21	5974	34760
22	6215	34321
23	6473	33985
24	6731	33655
25	7171	34202
26	7610	34670
27	7875	34315
28	8108	33832
29	8460	33842
30	8780	33706
31	9057	33399
32	9352	33158
33	9607	32778
34	9842	32339
35	10083	31929
36	10320	31519
37	10636	31348
38	10970	31225
39	11274	31005
40	11589	30812
41	11872	30528
42	12130	30184
43	12524	30173
44	12969	30261
45	13461	30434
46	13799	30240
47	14241	30264
48	14672	30242
49	15068	30137
50	15379	29853
51	15722	29631
52	15982	29250
53	16226	28846
54	16497	28495
55	16797	28196
56	17072	27854
57	17320	27474
58	17717	27326
59	18273	27410
60	18721	27314
61	19051	27040
62	19488	26913
63	19816	26628
64	20254	26486
65	20544	26147
66	20838	25815
67	21271	25651
68	21665	25432
69	21933	25066
70	22406	24931
71	22715	24608
72	23062	24325
73	23388	24020
74	23764	23764
75	24032	23399
76	24295	23032
77	24599	22707
78	24925	22401
79	25154	22010
80	25363	21605
81	25665	21283
82	25936	20937
83	26155	20550
84	26371	20166
85	26622	19812
86	26878	19463
87	27103	19095
88	27353	18747
89	27696	18464
90	27936	18112
91	28261	17817
92	28529	17485
93	28767	17138
94	29009	16795
95	29236	16445
96	29561	16152
97	29786	15805
98	30008	15458
99	30234	15117
100	30445	14770
101	30666	14431
102	30966	14130
103	31269	13830
104	31493	13497
105	31727	13169
106	31964	12845
107	32218	12529
108	32442	12203
109	32726	11900
110	33010	11598
111	33251	11281
112	33487	10965
113	33700	10642
114	33994	10346
115	34239	10035
116	34486	9727
117	34756	9425
118	34988	9114
119	35262	8815
120	35518	8512
121	35723	8198
122	35964	7894
123	36277	7606
124	36518	7303
125	36722	6994
126	36934	6688
127	37189	6391
128	37456	6097
129	37795	5814
130	38078	5522
131	38330	5226
132	38547	4927
133	38791	4631
134	39080	4342
135	39312	4046
136	39526	3750
137	39781	3459
138	40118	3174
139	40382	2884
140	40707	2598
141	40975	2308
142	41315	2022
143	41748	1739
144	42058	1450
145	42381	1161
146	42648	870
147	42873	579
148	43124	289
149	43346	0
